"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","IBk","10","BEST_FIRST","UNDER_SAMPLING","NONE","0,22857","0,10127","0,53762","0,07969","0,625","8.0","27.0","630.0","71.0","91,24539"
"SYNCOPE","RandomForest","10","BEST_FIRST","OVER_SAMPLING","NONE","0,33333","0,05063","0,52639","0,06134","0,5","4.0","8.0","649.0","75.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST_FIRST","OVER_SAMPLING","NONE","1","0,01266","0,51506","0,02238","0,375","1.0","0.0","657.0","78.0","91,24539"
"SYNCOPE","IBk","10","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,46946","-0,01539","0,25","0.0","6.0","651.0","79.0","91,24539"
"SYNCOPE","RandomForest","10","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,33333","0,03797","0,53273","0,04726","0,375","3.0","6.0","651.0","76.0","91,24539"
"SYNCOPE","NaiveBayes","10","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","1","0,01266","0,52441","0,02238","0,375","1.0","0.0","657.0","78.0","91,24539"
"SYNCOPE","IBk","10","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,47147","-0,01294","0,375","0.0","5.0","652.0","79.0","91,24539"
"SYNCOPE","RandomForest","11","NONE","NO_SAMPLING","NONE","0,4","0,02899","0,53877","0,04198","0,4","2.0","3.0","668.0","67.0","91,90992"
"SYNCOPE","NaiveBayes","11","NONE","NO_SAMPLING","NONE","1","0,01449","0,51958","0,02598","0,33333","1.0","0.0","671.0","68.0","91,90992"
"SYNCOPE","IBk","11","NONE","NO_SAMPLING","NONE","0,11765","0,02899","0,48792","0,01002","0,07143","2.0","15.0","656.0","67.0","91,90992"
"SYNCOPE","RandomForest","11","BEST_FIRST","NO_SAMPLING","NONE","0,05","0,01449","0,52966","-0,02029","0,26667","1.0","19.0","652.0","68.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST_FIRST","NO_SAMPLING","NONE","1","0,01449","0,53447","0,02598","0,33333","1.0","0.0","671.0","68.0","91,90992"
"SYNCOPE","IBk","11","BEST_FIRST","NO_SAMPLING","NONE","0,04762","0,01449","0,4676","-0,02226","0,07143","1.0","20.0","651.0","68.0","91,90992"
"SYNCOPE","RandomForest","11","BEST_FIRST","UNDER_SAMPLING","NONE","0,11927","0,18841","0,51674","0,03598","0,28571","13.0","96.0","575.0","56.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,48063","0","0,35714","0.0","0.0","671.0","69.0","91,90992"
"SYNCOPE","IBk","11","BEST_FIRST","UNDER_SAMPLING","NONE","0,11111","0,14493","0,50855","0,02261","0,28571","10.0","80.0","591.0","59.0","91,90992"
"SYNCOPE","RandomForest","11","BEST_FIRST","OVER_SAMPLING","NONE","0,07317","0,04348","0,49397","-0,01608","0,2","3.0","38.0","633.0","66.0","91,90992"
"SYNCOPE","NaiveBayes","11","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,53389","0","0,35714","0.0","0.0","671.0","69.0","91,90992"
